StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q3,Q3_5_TEXT,Q4,Q5,Q6,Q7,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q17_1,Q17_2,Q17_3,Q18,Q19,Q20,Q21
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Selecting the “I consent” option below indicates that I agree to participate in the study. This in no way constitutes a waiver of my rights.,How would you describe your role at GitHub? (Single Answer) - Selected Choice,How would you describe your role at GitHub? (Single Answer) - Other (please specify) - Text,"How many years of experience do you have in working on web systems and/or their ecosystem (tooling, documentation, managing a team, etc..)? (Single Answer)",What is your level of expertise with Representational State Transfer (REST) APIs? (Single Answer),What is your level of expertise with Graph Query Language (GraphQL) APIs? (Single Answer),Which of the following do you believe are benefits of GraphQL?,"What do you believe are benefits of GraphQL? (not already mentioned before) 
You can answer this with a paragraph or a list of phrases. Feel free to add as much detail as you'd like.",Which of the following do you believe are weaknesses of GraphQL (Multi Answer),"What do you believe are weaknesses of GraphQL? (not already mentioned before)
You can answer this with a paragraph or a list of phrases. Feel free to add as much detail as you'd like.",Which of the following do you believe are benefits of REST? (Multi Answer),"What do you believe are benefits of REST? (not already mentioned before) 
 You can answer this with a paragraph or a list of phrases. Feel free to add as much detail as you'd like.",Which of the following do you believe are weaknesses of REST? (Multi Answer),"What do you believe are weaknesses of REST? (not already mentioned before)
You can answer this with a paragraph or a list of phrases. Feel free to add as much detail as you'd like.","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing an API first product for millions of users to use","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing an internal web service for other internal services to interact with","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing an API for multiple different clients to use","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing a mission-critical real-time API","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing a service which serves static content through an API","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing a very large public web service project","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing a medium-sized public web service project","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing a very small public web service project","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing a very large internal web service project","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing a medium-sized internal web service project","For each of the following scenarios, please indicate which API architecture(s) you would consider. - When developing a very small internal web service project",Please specify your agreement with the following statements. - GraphQL APIs make it easier to efficiently request resources,Please specify your agreement with the following statements. - Organizations with public REST APIs could benefit from adopting GraphQL,Please specify your agreement with the following statements. - GraphQL APIs are more maintainable than REST APIs,What level of adoption do you anticipate GraphQL will have in 5 years? (Single Answer),What level of adoption do you anticipate GraphQL will have in 10 years? (Single Answer),What level of adoption do you anticipate REST will have in 5 years? (Single Answer),What level of adoption do you anticipate REST will have in 10 years? (Single Answer)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID16_11""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}"
2020-03-09 8:55,2020-03-09 9:02,100,384,TRUE,2020-03-09 9:02,R_3lttSrmkZNpVrmw,anonymous,EN,I consent,Engineer,,1-2 years,I have used it for at least a few months and have successfully completed a small project using it.,I have used it for at least a few months and have successfully completed a small project using it.,"It can reduce overfetching of resources,It can reduce underfecting of resources,It can reduce the need for making round trip requests,It is a strongly typed protocol language,It has built in type validation,It is not tied to HTTP,Resources are organized as an object graph,GraphQL APIs have inline documentation,It provides detailed and clear error messages,GraphQL APIs are easy to test,GraphQL resolvers reduce code duplication,It is easy to learn how to write a GraphQL API,It is intuitive to understand how to use a GraphQL API,The GraphiQL schema API explorer,It can improve maintainability,It can improve performance,It is a scalable approach to support many different clients,Its makes product development faster,It provides a built in introspection API",,"Its tooling ecosystem isn’t well developed,It doesn’t provide a way to calculate query complexity,It can cause N+1 problems without providing a way to solve them,It doesn’t provide a caching mechanism,Not all server side libraries are up to date with the GraphQL spec,Learning GraphQL requires a time investment,GraphQL doesn’t have widespread knowledge",,"REST has a cache mechanism built in,REST is built upon HTTP, so only an HTTP library is needed,It has a mature tooling ecosystem,It is performant,It has widespread knowledge,Its  type system is not rigid,HTTP evolution has benefitted REST,It is mature, and battle tested,It is easy to learn,It is intuitive,It is easy to document,It uses status codes to convey request status,It has a strong ecosystem of libraries,Knowledge about REST is widespread",,"There is little agreement on what REST is,It is up to the developer to ensure that REST is implemented correctly,API users can’t avoid overfetching,API users can’t avoid underfecthing,API users might need to make multiple round trip requests",,Both,REST,Both,REST,Both,Both,Both,Both,REST,REST,REST,Strongly Agree,Strongly Agree,Agree,More adoption – more organizations will be using GraphQL,More adoption – more organizations will be using GraphQL,More adoption – more organizations will be using REST,More adoption – more organizations will be using REST
2020-03-09 9:06,2020-03-09 9:09,100,161,TRUE,2020-03-09 9:09,R_3IYMv5g6wn45gkk,anonymous,EN,I consent,Engineer,,5-10 years,"I have used it for a year or more on a daily or regular basis, and am comfortable using it in moderately complex projects.","I have read an article or two about it and understand the basics of what it is, but nothing in depth.","It can reduce overfetching of resources,Resources are organized as an object graph,It is a scalable approach to support many different clients",,GraphQL doesn’t have widespread knowledge,,"It has widespread knowledge,HTTP evolution has benefitted REST,It is mature, and battle tested,It is easy to document,It uses status codes to convey request status",,"There is little agreement on what REST is,It is up to the developer to ensure that REST is implemented correctly,It is weakly typed",,GraphQL,REST,GraphQL,Neither,REST,Both,REST,REST,REST,REST,REST,Agree,Agree,,Unknown – I can't anticipate the level of adoption,Unknown – I can't anticipate the level of adoption,Unknown – I can't anticipate the level of adoption,Mass adoption – almost all organizations will be using REST
2020-03-09 9:08,2020-03-09 9:14,100,397,TRUE,2020-03-09 9:14,R_3rZfXTgR8DWju5e,anonymous,EN,I consent,Other (please specify),Solution Architect,5-10 years,"I have been using it for many years, know all of the basic aspects, and am comfortable using it as a key element in complex projects. People in my group come to me with their questions.",I have used it for at least a few months and have successfully completed a small project using it.,"It can reduce overfetching of resources,It is a strongly typed protocol language,It has built in type validation,GraphQL APIs have inline documentation,It provides detailed and clear error messages,GraphQL resolvers reduce code duplication,It is intuitive to understand how to use a GraphQL API,The GraphiQL schema API explorer,It can improve maintainability,It is a scalable approach to support many different clients,It is simple,It provides a built in introspection API",,"Its tooling ecosystem isn’t well developed,It can cause N+1 problems without providing a way to solve them,Not all server side libraries are up to date with the GraphQL spec,GraphQL doesn’t have widespread knowledge",,"It has a mature tooling ecosystem,It has widespread knowledge,HTTP evolution has benefitted REST,It is mature, and battle tested,It is easy to learn,It is intuitive,It uses status codes to convey request status,It has a strong ecosystem of libraries,Knowledge about REST is widespread",,"It is up to the developer to ensure that REST is implemented correctly,It is weakly typed,It requires significant effort to document ",,Both,REST,GraphQL,REST,REST,Both,REST,REST,GraphQL,GraphQL,REST,Strongly Agree,Strongly Agree,Neutral,More adoption – more organizations will be using GraphQL,Mass adoption – almost all organizations will be using GraphQL ,Same adoption – a similar amount of organizations will be using REST,Less adoption – fewer organizations will be using REST
2020-03-09 9:11,2020-03-09 9:24,100,728,TRUE,2020-03-09 9:24,R_115u2N31GVheSUO,anonymous,EN,I consent,Engineer,,5-10 years,"I have been using it for many years, know all of the basic aspects, and am comfortable using it as a key element in complex projects. People in my group come to me with their questions.","I have been using it for many years, know all of the basic aspects, and am comfortable using it as a key element in complex projects. People in my group come to me with their questions.","It can reduce overfetching of resources,It can reduce underfecting of resources,It can reduce the need for making round trip requests,It is a strongly typed protocol language,It has built in type validation,Resources are organized as an object graph,The GraphiQL schema API explorer,It can improve performance,Its makes product development faster,It has a strong ecosystem of client side libraries (Apollo, Relay, ...)",,"It can cause N+1 problems without providing a way to solve them,GraphQL doesn’t have widespread knowledge",,"It has widespread knowledge,It uses status codes to convey request status,Knowledge about REST is widespread",,"There is little agreement on what REST is,It is up to the developer to ensure that REST is implemented correctly,It is weakly typed,API users can’t avoid overfetching,API users can’t avoid underfecthing,API users might need to make multiple round trip requests,It requires significant effort to document ,Other(s)? (Please specify in a text area on the next page)","(I believe this should say ""weakness of REST"")

REST client-side tooling is haphazard, ranging from unopinionated to overly complicated/too far reaching. This leads to a widespread understanding of REST, how to use REST, or what ""proper"" REST is.

There is no one source-of-truth spec doc for REST

GraphQL's client-side tooling is more opinionated, resulting in more uniform usage and understanding of GraphQL.
GraphQL's spec is published publicly, as a single source of truth.",Both,Both,Both,GraphQL,Neither,Both,Both,GraphQL,Both,Both,GraphQL,Strongly Agree,Agree,Neutral,More adoption – more organizations will be using GraphQL,More adoption – more organizations will be using GraphQL,Same adoption – a similar amount of organizations will be using REST,Same adoption – a similar amount of organizations will be using REST
2020-03-09 9:19,2020-03-09 9:26,100,404,TRUE,2020-03-09 9:26,R_yKoMDSf858x6clb,anonymous,EN,I consent,Engineer,,10+ years,"I am a local expert, with many years of solid experience. People across the company come to me with their questions.","I have used it for a year or more on a daily or regular basis, and am comfortable using it in moderately complex projects.","It can reduce overfetching of resources,It is a strongly typed protocol language,It has built in type validation,GraphQL APIs have inline documentation",,"Its tooling ecosystem isn’t well developed,It doesn’t provide a way to calculate query complexity,Not all server side libraries are up to date with the GraphQL spec,Learning GraphQL requires a time investment,It has high overhead",,"REST is built upon HTTP, so only an HTTP library is needed,It has a mature tooling ecosystem,It is performant,It has widespread knowledge,It is mature, and battle tested,It is intuitive,It uses status codes to convey request status,It has a strong ecosystem of libraries,Knowledge about REST is widespread",,"There is little agreement on what REST is,It is up to the developer to ensure that REST is implemented correctly,It is weakly typed,API users can’t avoid overfetching,API users might need to make multiple round trip requests",,REST,Neither,REST,REST,,REST,REST,REST,REST,REST,REST,Neutral,Disagree,Strongly Disagree,More adoption – more organizations will be using GraphQL,Unknown – I can't anticipate the level of adoption,More adoption – more organizations will be using REST,More adoption – more organizations will be using REST
2020-03-09 9:22,2020-03-09 9:27,100,289,TRUE,2020-03-09 9:27,R_11ZR8j8K0ZPbyK5,anonymous,EN,I consent,Engineering Manager,,5-10 years,"I have been using it for many years, know all of the basic aspects, and am comfortable using it as a key element in complex projects. People in my group come to me with their questions.","I have used it for a year or more on a daily or regular basis, and am comfortable using it in moderately complex projects.","It can reduce overfetching of resources,It is a strongly typed protocol language,It has built in type validation,Resources are organized as an object graph,The GraphiQL schema API explorer,It can improve performance,It is a scalable approach to support many different clients,Its makes product development faster,It has a strong ecosystem of client side libraries (Apollo, Relay, ...)",,"It doesn’t provide a way to calculate query complexity,Learning GraphQL requires a time investment",,"It has a mature tooling ecosystem,It is mature, and battle tested,It is easy to learn,It uses status codes to convey request status,Knowledge about REST is widespread",,"There is little agreement on what REST is,It is up to the developer to ensure that REST is implemented correctly,It is weakly typed,API users can’t avoid overfetching,API users might need to make multiple round trip requests",,GraphQL,REST,GraphQL,Neither,REST,REST,Both,Both,REST,REST,REST,Agree,Strongly Agree,Neutral,More adoption – more organizations will be using GraphQL,More adoption – more organizations will be using GraphQL,Same adoption – a similar amount of organizations will be using REST,Less adoption – fewer organizations will be using REST
2020-03-09 9:21,2020-03-09 9:27,100,379,TRUE,2020-03-09 9:27,R_bJaKDJGrZawTq13,anonymous,EN,I consent,Engineer,,2-5 years,"I have been using it for many years, know all of the basic aspects, and am comfortable using it as a key element in complex projects. People in my group come to me with their questions.","I have been using it for many years, know all of the basic aspects, and am comfortable using it as a key element in complex projects. People in my group come to me with their questions.","It can reduce overfetching of resources,It can reduce the need for making round trip requests,It is a strongly typed protocol language,It has built in type validation,Resources are organized as an object graph,The GraphiQL schema API explorer,It is a scalable approach to support many different clients",,"Its tooling ecosystem isn’t well developed,It can cause N+1 problems without providing a way to solve them,Learning GraphQL requires a time investment,GraphQL doesn’t have widespread knowledge",,"REST is built upon HTTP, so only an HTTP library is needed,It has a mature tooling ecosystem,It is mature, and battle tested,It uses status codes to convey request status",,"It is up to the developer to ensure that REST is implemented correctly,It is weakly typed,API users might need to make multiple round trip requests",,GraphQL,Both,GraphQL,REST,Neither,GraphQL,GraphQL,GraphQL,GraphQL,REST,REST,Neutral,Agree,Agree,More adoption – more organizations will be using GraphQL,More adoption – more organizations will be using GraphQL,Same adoption – a similar amount of organizations will be using REST,Same adoption – a similar amount of organizations will be using REST
2020-03-09 9:23,2020-03-09 9:31,100,453,TRUE,2020-03-09 9:31,R_2rUQoACX4gmTEKl,anonymous,EN,I consent,Engineer,,5-10 years,"I have been using it for many years, know all of the basic aspects, and am comfortable using it as a key element in complex projects. People in my group come to me with their questions.","I have read an in-depth article, primer, or how-to book, and/or have played with it a bit.",,,"It doesn’t provide a way to calculate query complexity,It can cause N+1 problems without providing a way to solve them,It doesn’t provide a caching mechanism,Learning GraphQL requires a time investment,GraphQL doesn’t have widespread knowledge,It has high overhead",,"REST is built upon HTTP, so only an HTTP library is needed,It has a mature tooling ecosystem,It has widespread knowledge,Its  type system is not rigid,HTTP evolution has benefitted REST,It is mature, and battle tested,It is easy to learn,It is intuitive,It is easy to document,It uses status codes to convey request status,It has a strong ecosystem of libraries,Knowledge about REST is widespread",,"There is little agreement on what REST is,It is up to the developer to ensure that REST is implemented correctly,It is weakly typed,API users can’t avoid overfetching,API users can’t avoid underfecthing,API users might need to make multiple round trip requests",,REST,REST,REST,REST,REST,REST,REST,REST,REST,REST,REST,Neutral,Neutral,Disagree,Same adoption – a similar amount of organizations will be using GraphQL,Same adoption – a similar amount of organizations will be using GraphQL,Same adoption – a similar amount of organizations will be using REST,Same adoption – a similar amount of organizations will be using REST
